chunk,chunk_id
我可以一次申請幾所學校？,880a7fb5-e98f-410a-a8e6-c16e347e9942_0
美國學校申請費大概多少？,8ab2ba0e-d715-4c32-b272-236d2e5dca7d_1
我需要準備幾封推薦信？,d897d29a-770c-4b9a-9b3a-83e950836c6c_2
美國大學錄取的標準是什麼？,100e6dae-eda3-4555-be8d-f4ccb71d2911_3
申請美國大學或碩士可以考多鄰國(Duolingo)嗎？,a1774e14-cbf5-4043-a7cd-469aa7162c7f_4
我只想上短期的英文課，一定要申請簽證嗎?,fe8a2b17-01bd-489d-9886-1e6d9625cc14_5
在美國如果課程時間每週不超過20小時，課程長度不超過90天可以使用觀光簽證。,6a922087-72da-4c2c-9062-a7752f1316b2_6
我要考雅思還是托福？,aa8e87a6-9a2b-4d75-9558-615cccfdb962_7
申請截止日一般在什麼時候?,d77c9c5d-dc72-462d-8aa5-3f769ce7d2bd_8
出國留學大概要準備多少預算?,2b76b3d2-3872-4f0d-8119-20e38d75175f_9
申請美國/英國學校該準備哪些文件?,0bd8c6a1-9038-4f75-9608-3d6e5b3edd95_10
我成績不好申請的到學校嗎?,1c800867-1659-4313-9b50-e57cc2093b07_11
申請美國學校該準備哪些考試?,14697b02-424a-4dd1-8000-eccadafed3f6_12
預算有限，還有可能出國留學嗎？,b3cc3959-4add-4caa-85dd-2fdd0949c5be_13
台灣跟美國的學制差別？學生是否可以銜接的上理想課程？,6952bd54-e0e5-45f3-a1f2-73f1f1d837c8_14
美國那麼大？應該如何選擇學校呢？,d7bdfc43-9284-4e90-8d0a-45b2afaa43f9_15
如果確定有了想出國留學的意願，應該從什麼時候開始準備申請呢？,a386b3af-3cbf-44b0-a815-d0d9ba94d90f_16
高中留學需要的條件？,1891a9f3-9eea-40b9-8639-9775f7473314_17
高中留學需要的條件？,1891a9f3-9eea-40b9-8639-9775f7473314_18
Deadline跟Rolling admission的不同?,148eb22b-b757-4e9c-b9bd-a7c5519230eb_19
你們提供什麼服務？,90c6de69-2920-4307-a8f5-6787416bb8aa_20
可以代辦其他國家嗎？,05eeb608-805c-4832-8dbd-768b7c7fdad2_21
為什麼可以免費代辦,ae9fa18d-6be9-48ae-bc7a-1950159911cf_22
不代收學費對我比較有保障嗎？,01c86f95-8d68-42ea-8014-fb03c4f243b7_23
需提前多久申請澳洲學校 ？,80d66709-5cbb-4490-917d-76ee9ed8cc94_24
學校申請準備清單,f367a977-475a-4e3f-bdbd-747b886965a8_25
申請課程一定要有雅思成績嗎？,060ab3e8-de03-4c55-bd2c-2d40562ad15e_26
